customerId,customerName,phoneNumber,isVIP,repeatCalls
KH00001,Bui Phuong Quang,0972254720,false,12
KH00002,Dang Anh Nam,0916724144,false,22
KH00003,Ly Thanh Quang,0861289535,false,15
KH00004,Bui Trung Tam,0840297478,false,11
KH00005,Dang Thi Quang,0987510065,false,0
KH00006,Le Tuan Phuc,0887730367,false,19
KH00007,Huynh Trung Minh,0907125320,false,11
KH00008,Vo Minh Chi,0968270994,false,13
KH00009,Ngo Cong Xuan,0887706291,false,11
KH00010,Do Cong Thao,0830679912,false,24
KH00011,Nguyen Thi Ich,0898778726,true,13
KH00012,Vu Quoc Oanh,0881906194,false,0
KH00013,Huynh Ngoc Khanh,0857925174,false,0
KH00014,Pham Cong Dung,0897161107,false,21
KH00015,Ly Anh Ich,0861810352,false,3
KH00016,Ho Van An,0832863489,false,6
KH00017,Do Bao Oanh,0858785110,false,8
KH00018,Duong Hoang Hai,0858270373,false,24
KH00019,Dang Trung Long,0846160256,false,3
KH00020,Vo Bao Binh,0842824826,false,32
KH00021,Phan Phuong Dat,0912194928,false,38
KH00022,Nguyen Van Vinh,0904433897,false,19
KH00023,Ho Minh Ich,0852332163,false,34
KH00024,Dang Kim Em,0835638752,false,44
KH00025,Nguyen Anh Dat,0934267408,true,36
KH00026,Vu Tuan Long,0986419611,false,23
KH00027,Hoang Quoc Khanh,0940456191,false,5
KH00028,Tran Huu Dat,0942208274,false,2
KH00029,Hoang Thanh Dat,0978749558,false,14
KH00030,Dang Huu Nam,0906031736,false,1
KH00031,Ho Hoang Mai,0966319825,false,10
KH00032,Phan Phuong Oanh,0837988353,false,23
KH00033,Tran Van Quang,0856454270,true,6
KH00034,Do Quoc Lan,0890422840,false,9
KH00035,Ho Tuan Lan,0889910443,true,11
KH00036,Huynh Quoc Giang,0837254649,true,24
KH00037,Bui Anh Dat,0934705429,false,17
KH00038,Vo Minh Lan,0853022858,true,10
KH00039,Le Quoc Tam,0830377779,false,11
KH00040,Ngo Anh Giang,0856613632,false,2
KH00041,Le Trung Nam,0869099448,false,5
KH00042,Dang Kim Linh,0892478342,true,14
KH00043,Ngo Thi Thao,0911527522,true,17
KH00044,Do Bao Vinh,0946664987,true,6
KH00045,Huynh Ngoc Hoa,0854336618,false,28
KH00046,Le Cong Oanh,0968268882,false,2
KH00047,Ly Minh Yen,0867122123,false,12
KH00048,Ngo Tuan Xuan,0980388638,true,14
KH00049,Ly Thanh Binh,0973114558,true,12
KH00050,Duong Ngoc Binh,0852681595,false,6
KH00051,Duong Tuan Phuc,0859340469,false,17
KH00052,Ngo Kim Yen,0868276582,true,16
KH00053,Ly Cong Long,0967921712,true,29
KH00054,Vu Bao Uyen,0896790992,true,16
KH00055,Do Ngoc Chi,0832026333,false,21
KH00056,Tran Tuan Hung,0896028648,false,27
KH00057,Ho Cong Xuan,0861858315,false,5
KH00058,Le Quoc Dat,0830376545,false,24
KH00059,Le Minh Ich,0833179093,true,22
KH00060,Ho Phuong Hung,0968901260,false,26
KH00061,Dang Duc Mai,0984820809,true,27
KH00062,Ho Duc Dat,0934411016,true,34
KH00063,Hoang Thanh Phong,0936769914,false,24
KH00064,Ho Hoang Binh,0883488763,false,19
KH00065,Phan Trung Nam,0845514605,false,5
KH00066,Phan Phuong Em,0938155929,false,36
KH00067,Nguyen Anh Khanh,0976831577,false,15
KH00068,Hoang Kim Giang,0847726816,true,45
KH00069,Tran Van Lan,0918062802,true,4
KH00070,Bui Anh Vinh,0864422410,false,2
KH00071,Hoang Quoc Binh,0930306681,false,0
KH00072,Vu Cong Linh,0932458918,true,49
KH00073,Phan Cong Long,0915645841,false,5
KH00074,Ly Cong Khanh,0853658117,true,0
KH00075,Le Duc Tam,0917407660,false,7
KH00076,Ho Tuan Hoa,0988344161,false,2
KH00077,Phan Hoang Thao,0908016313,false,14
KH00078,Vu Thi Long,0978953466,false,18
KH00079,Phan Thi Nam,0836032215,false,2
KH00080,Nguyen Van Vinh,0987632535,true,16
KH00081,Do Anh Tam,0901211954,false,19
KH00082,Dang Minh Phuc,0865742216,false,33
KH00083,Hoang Kim Hung,0860984677,false,3
KH00084,Le Bao Dung,0846711145,false,41
KH00085,Phan Trung Thao,0911675527,true,2
KH00086,Ho Huu An,0942841197,false,4
KH00087,Nguyen Huu Quang,0853820941,false,15
KH00088,Le Quoc Ich,0868248595,false,12
KH00089,Bui Minh Ich,0980688140,true,1
KH00090,Huynh Ngoc Vinh,0845620142,false,5
KH00091,Do Cong Long,0903300452,false,3
KH00092,Huynh Kim Em,0988270644,false,11
KH00093,Phan Huu Mai,0858106997,false,3
KH00094,Hoang Duc Dung,0940127514,false,6
KH00095,Dang Phuong Hoa,0961732199,false,22
KH00096,Dang Bao Em,0894903392,true,14
KH00097,Hoang Thi Son,0919037623,false,21
KH00098,Phan Quoc Xuan,0988524013,false,21
KH00099,Tran Tuan Ich,0981187443,true,17
KH00100,Ngo Tuan Quang,0938537830,false,11
KH00101,Dang Hoang Ich,0963294858,false,28
KH00102,Nguyen Minh Dung,0838389807,false,16
KH00103,Tran Thanh Thao,0935266022,true,0
KH00104,Phan Thanh Uyen,0890776829,false,1
KH00105,Pham Bao Ich,0902670622,false,16
KH00106,Do Anh Linh,0987460679,false,22
KH00107,Tran Bao Long,0917568480,false,32
KH00108,Huynh Van Tam,0843051454,false,25
KH00109,Ho Quoc Long,0909088677,false,23
KH00110,Pham Thanh Hai,0889615712,false,18
KH00111,Hoang Cong Hoa,0982873616,false,18
KH00112,Vo Tuan Khanh,0982236534,false,23
KH00113,Vo Cong Hai,0963178722,false,45
KH00114,Ho Trung Quang,0918625674,false,3
KH00115,Hoang Trung Xuan,0898826492,false,7
KH00116,Pham Kim Ich,0841186241,false,20
KH00117,Huynh Phuong Hoa,0989467728,true,23
KH00118,Duong Thanh Mai,0884051206,true,23
KH00119,Phan Anh Yen,0857655286,true,30
KH00120,Hoang Minh Khanh,0981189218,false,2
KH00121,Vo Duc Vinh,0910061764,false,47
KH00122,Huynh Van Tam,0960685462,true,17
KH00123,Ngo Phuong Nam,0979712124,true,12
KH00124,Duong Bao Thao,0889632129,false,24
KH00125,Tran Anh Phuc,0949145283,true,45
KH00126,Dang Bao Xuan,0974342646,false,0
KH00127,Tran Duc Ich,0935833818,false,2
KH00128,Ho Duc An,0881805888,false,6
KH00129,Vu Cong Long,0944163824,true,3
KH00130,Vu Trung Tri,0837518001,false,20
KH00131,Bui Phuong Mai,0846540788,true,11
KH00132,Ly Thi Hung,0967717441,true,18
KH00133,Hoang Tuan Em,0984303201,false,13
KH00134,Tran Quoc Uyen,0845285418,true,1
KH00135,Hoang Duc Phuc,0983768360,false,28
KH00136,Pham Trung Tri,0838680697,false,8
KH00137,Do Kim Lan,0856689854,false,19
KH00138,Dang Quoc Oanh,0906909707,false,17
KH00139,Phan Tuan Thao,0985885912,false,4
KH00140,Vo Hoang Vinh,0913530243,false,24
KH00141,Phan Huu Long,0906107421,true,33
KH00142,Duong Quoc Long,0966600094,false,13
KH00143,Nguyen Kim Quang,0859841854,false,2
KH00144,Nguyen Duc Linh,0961199061,false,8
KH00145,Tran Ngoc Mai,0976977550,false,6
KH00146,Le Thi Oanh,0945089708,false,10
KH00147,Le Kim An,0931930335,false,9
KH00148,Dang Anh Phuc,0885866786,true,2
KH00149,Bui Anh Chi,0853284824,false,44
KH00150,Ngo Minh Uyen,0902268681,false,4
KH00151,Do Ngoc Hoa,0902516460,true,4
KH00152,Pham Phuong Phong,0961364194,false,38
KH00153,Dang Hoang Minh,0895780497,false,13
KH00154,Hoang Trung Uyen,0931610638,false,1
KH00155,Nguyen Hoang Tri,0893956393,false,23
KH00156,Le Bao Ich,0973580822,true,29
KH00157,Ho Phuong Khanh,0903522307,false,46
KH00158,Ho Huu Quang,0979199026,true,8
KH00159,Nguyen Minh Ich,0934710318,true,23
KH00160,Le Trung Khanh,0850436946,true,41
KH00161,Hoang Anh Ich,0937388203,true,2
KH00162,Ly Thanh Chi,0936666344,false,16
KH00163,Phan Thi Uyen,0989909924,false,26
KH00164,Tran Hoang Dat,0831932355,true,12
KH00165,Ly Tuan Linh,0907716713,false,8
KH00166,Tran Bao Dung,0971989292,false,11
KH00167,Ngo Bao Long,0840995040,false,18
KH00168,Phan Ngoc Xuan,0976602016,false,1
KH00169,Hoang Ngoc Nam,0967312628,true,1
KH00170,Hoang Huu Thao,0862178113,false,14
KH00171,Bui Tuan Ich,0839029220,false,21
KH00172,Dang Cong Hoa,0911645328,false,47
KH00173,Ly Huu Minh,0860212375,false,4
KH00174,Ly Thi Hung,0851661932,false,19
KH00175,Nguyen Tuan Khanh,0968086282,true,11
KH00176,Duong Quoc Long,0938426182,false,20
KH00177,Do Tuan An,0942925955,false,18
KH00178,Tran Trung Dat,0845071498,false,9
KH00179,Duong Hoang Khanh,0916020538,false,22
KH00180,Tran Quoc Linh,0846381210,true,7
KH00181,Ho Van Hung,0961298216,false,2
KH00182,Phan Hoang Minh,0859588382,true,23
KH00183,Hoang Thanh Khanh,0841594831,false,22
KH00184,Do Bao Hoa,0969818912,false,29
KH00185,Vu Cong Hoa,0907046451,false,13
KH00186,Vu Trung Tam,0898017730,true,3
KH00187,Huynh Tuan Oanh,0885410565,true,21
KH00188,Vu Thi Quang,0944653782,true,6
KH00189,Nguyen Van Hung,0912174326,false,13
KH00190,Hoang Huu Phong,0885977561,false,26
KH00191,Le Huu Quang,0985618629,false,13
KH00192,Huynh Thi Nam,0853604371,false,18
KH00193,Vu Thi Uyen,0832951798,false,31
KH00194,Le Van Oanh,0977286735,false,6
KH00195,Do Phuong Hai,0846343469,false,24
KH00196,Do Trung Uyen,0847732974,false,14
KH00197,Phan Anh Oanh,0974464573,false,12
KH00198,Dang Quoc Quang,0885686481,false,47
KH00199,Tran Thanh Lan,0977310455,false,15
KH00200,Ho Hoang Thao,0979795271,true,18
